RegionID|RegionName|Coordinates
6034122|Valmorel, Les Avanchers-Valmorel, France (type 1)|45.47367;6.44996:45.47213;6.46709:45.46631;6.46868:45.45299;6.45397:45.45552;6.43568:45.46494;6.43615
6034126|Archangelos, Rhodes, Greece (type 1)|36.21938;28.06873:36.21236;28.20863:36.17448;28.18617:36.17110;28.05471
6034219|Auron, Saint-Etienne-de-Tinee, France (type 7)|44.23497;6.90534:44.23498;6.95847:44.21025;6.95839:44.21023;6.90535
6034232|Isola-2000, Isola, France (type 7)|44.19400;7.13422:44.19398;7.16380:44.17956;7.16379:44.17958;7.13422
6034242|Downtown Disney area-Lake Buena Vista, Florida, United States of America (type 5)|28.41956;-81.53262:28.40828;-81.51191:28.38803;-81.47563:28.35149;-81.47695:28.34817;-81.51756:28.34798;-81.53782:28.35982;-81.53686:28.36126;-81.53074:28.36376;-81.51263:28.37939;-81.50414:28.38908;-81.51474:28.42013;-81.54831
6034243|Disney's Maingate West, Florida, United States of America (type 5)|28.41827;-81.70731:28.41816;-81.59610:28.37071;-81.58726:28.35227;-81.61267:28.34427;-81.58563:28.33341;-81.58009:28.33300;-81.56356:28.22850;-81.56311:28.22813;-81.70664
6034244|International Drive, Florida, United States of America (type 5)|28.44960;-81.51405:28.42965;-81.51372:28.42989;-81.41306:28.44992;-81.41312
6034245|North Orlando, Florida, United States of America (type 5)|28.82594;-81.35373:28.82585;-81.25651:28.57978;-81.30281:28.57979;-81.47582:28.67273;-81.47944
6034265|Les Portes du Soleil, France (type 5)|46.20514;6.61241:46.28216;6.80874:46.28272;6.86306:46.15576;6.79300:46.12907;6.62970
6034270|Les 3 Vallees, France (type 5)|45.46838;6.54829:45.45278;6.67569:45.26053;6.67539:45.27870;6.47752:45.40184;6.47729
6034385|Muharraq, Bahrain (type 3)|26.30762;50.57977:26.30640;50.67224:26.23591;50.67063:26.23628;50.60657:26.24925;50.60793:26.25082;50.58682
6034431|Grand Case, St. Martin (type 3)|18.09115;-63.07168:18.09089;-63.05884:18.09922;-63.03755:18.11566;-63.02875:18.13409;-63.04691:18.10510;-63.08235
6034436|Walt Disney World area, Florida, United States of America (type 7)|28.41831;-81.59564:28.42010;-81.54865:28.38763;-81.51335:28.37939;-81.50433:28.36383;-81.51267:28.36130;-81.53072:28.35994;-81.53707:28.34782;-81.53805:28.34788;-81.53394:28.33317;-81.54543:28.33363;-81.58004:28.34461;-81.58522:28.35246;-81.61173:28.37056;-81.58671
6034531|Gueliz, Marrakech, Morocco (type 1)|31.61967;-8.05245:31.63053;-8.01571:31.62545;-8.01236:31.63022;-8.00271:31.64245;-8.00794:31.68562;-8.00558:31.69152;-8.05634
6034733|Sorrento, Italy (type 3)|40.63651;14.34970:40.63539;14.38624:40.62998;14.39055:40.63033;14.39168:40.62935;14.39168:40.62831;14.39308:40.62210;14.39720:40.61904;14.39789:40.61867;14.39858:40.61662;14.39925:40.61595;14.40027:40.61419;14.40169:40.61354;14.40268:40.61045;14.40201:40.60529;14.40508:40.60395;14.40509:40.60289;14.40474:40.59978;14.40681:40.59720;14.40832:40.58855;14.39276:40.59502;14.39281:40.59672;14.39281:40.59909;14.39145:40.59977;14.39385:40.60222;14.39418:40.60569;14.39211:40.60638;14.38967:40.60638;14.38524:40.60705;14.38180:40.60874;14.38111:40.61117;14.38183:40.61151;14.37460:40.61289;14.37424:40.61427;14.37179:40.61392;14.37005:40.61428;14.36455:40.61360;14.36217:40.61426;14.36046:40.61702;14.35736:40.61739;14.35594:40.61667;14.35594:40.61665;14.35533:40.61704;14.35531:40.61672;14.35498:40.61832;14.35499:40.61833;14.35571:40.62112;14.35466:40.62308;14.35281:40.62657;14.34820:40.62732;14.34707:40.63230;14.34160
6034809|Porto, Ota, France (type 1)|42.27442;8.68770:42.27442;8.69400:42.26836;8.71631:42.25724;8.71498:42.26124;8.68980
6034899|Shaoshan, Xiangtan, China (type 1)|27.99379;112.46944:27.99379;112.66754:27.83209;112.66752:27.83209;112.46944
6035014|Na Thon, Koh Samui, Thailand (type 1)|9.48065;99.91599:9.48224;99.96064:9.55160;99.95843:9.55898;99.94982:9.56788;99.92718:9.55944;99.92280
6035048|Juan-les-Pins - Antibes, France (type 5)|43.60958;7.08143:43.61109;7.09205:43.61825;7.10355:43.61606;7.10954:43.62273;7.11766:43.61437;7.14023:43.54093;7.14737:43.54054;7.11624:43.55696;7.08496:43.57231;7.08791:43.57627;7.08064:43.58067;7.07916:43.58215;7.07766:43.58349;7.07529:43.58516;7.07465:43.58588;7.07313:43.58483;7.07249:43.58790;7.06637:43.58859;7.06707:43.59170;7.06576:43.59375;7.06569:43.59555;7.06529:43.59886;7.06606:43.60303;7.06466:43.60500;7.06717:43.60784;7.06570:43.61224;7.07013
6035081|Ile de Re, France (type 5)|46.12541;-1.24863:46.18919;-1.25030:46.27438;-1.55024:46.19705;-1.59671
6035148|Le Grand Massif, France (type 5)|46.05121;6.59651:46.10301;6.67473:46.10298;6.76548:45.99229;6.74298:45.99229;6.61616
6035149|Superdevoluy, France (type 7)|44.70723;5.81057:44.74137;5.94595:44.70274;5.99656:44.63974;5.99437:44.61576;5.92868:44.67670;5.81068
6035150|Domaine Serre Chevalier, France (type 5)|44.93810;6.50856:44.95409;6.55090:44.97729;6.58269:44.95548;6.65256:44.92099;6.67840:44.91627;6.68810:44.90932;6.70855:44.89851;6.71039:44.89327;6.71478:44.89147;6.72333:44.85214;6.64005:44.90684;6.52874:44.91967;6.51377
6035152|Vercors, France (type 5)|45.19384;5.50594:45.19368;5.59137:44.86888;5.59158:44.86842;5.50723
6035153|Paradiski, France (type 5)(inactive - valid region excluding from drop down)|45.56060;6.62230:45.64310;6.75418:45.64310;6.78688:45.61656;6.78697:45.58666;6.85439:45.44355;6.82189:45.44339;6.67455:45.52493;6.62217
6035156|Connemara, Ireland (type 5)|53.63591;-10.05953:53.56525;-10.22377:53.41241;-10.21241:53.36373;-10.10973:53.37238;-9.90251:53.45136;-9.87580:53.44841;-9.73073:53.40864;-9.72025:53.33126;-9.95121:53.26496;-9.84168:53.30500;-9.38376:53.38823;-9.35707:53.48468;-9.45195:53.49554;-9.44823:53.47317;-9.29886:53.54671;-9.29975:53.60713;-9.66702
6035164|Milano Marittima, Italy (type 5)|44.29342;12.31053:44.29966;12.34278:44.30323;12.37138:44.27036;12.37821:44.26795;12.35532:44.26538;12.35229:44.27205;12.34838:44.27052;12.32693
6035180|El Silencio Coast, Spain (type 5)|28.01930;-16.67780:27.99595;-16.67134:27.99606;-16.63575:28.00650;-16.63564:28.00950;-16.63956:28.01952;-16.63880
6035246|Can Picafort, Spain (type 5)|39.79023;3.14945:39.76195;3.11746:39.73392;3.16220:39.76926;3.18944
6035266|Kolimbari, Platanias, Greece (type 1)|35.55609;23.76549:35.55560;23.79140:35.54603;23.80040:35.54015;23.82289:35.51675;23.82249:35.53141;23.76557
6035279|Ammoudara, Malevizi, Greece (type 1)|35.34925;25.03014:35.34888;25.09042:35.32406;25.09322:35.32284;25.02988
6035312|Albena, Bulgaria (type 3)|43.38079;28.08414:43.37343;28.10056:43.34659;28.08162:43.35898;28.05952
6046162|Porto de Galinhas, Ipojuca, Brazil (type 1)|-8.55330;-35.05827:-8.57040;-35.00626:-8.43606;-34.96823:-8.42664;-34.98941:-8.44750;-35.01938
6046242|New Forest, England, United Kingdom (type 5)|50.97721;-1.75509:50.95031;-1.86065:50.82845;-1.84844:50.71874;-1.70412:50.70115;-1.54378:50.78495;-1.33576:50.81711;-1.28904:50.93534;-1.51771:50.93515;-1.54732:50.95027;-1.56696:50.95341;-1.60032:50.95980;-1.60911:50.93820;-1.65213:50.93758;-1.70574:50.95230;-1.71512:50.96901;-1.69893
