RegionID|RegionName|Coordinates
6058536|Raleigh-Durham International Airport (RDU), North Carolina, United States of America (type 4)|35.86157;-78.83438:35.86593;-78.82786:35.89667;-78.80330:35.90560;-78.77253:35.87839;-78.73289:35.83242;-78.78689
6058537|Wake Forest, North Carolina, United States of America (type 3)|36.02465;-78.55379:36.02235;-78.54733:36.02631;-78.54708:36.02756;-78.53893:36.02586;-78.52358:36.02388;-78.49752:36.01470;-78.49997:36.01531;-78.49197:36.00686;-78.49094:36.00259;-78.49287:36.00038;-78.48604:36.00540;-78.47933:36.00269;-78.46677:35.99434;-78.46885:35.98807;-78.45091:35.98169;-78.44589:35.96947;-78.41830:35.93323;-78.39097:35.91464;-78.38388:35.91412;-78.38826:35.91912;-78.40734:35.91639;-78.41314:35.92089;-78.42783:35.93290;-78.44072:35.89905;-78.44552:35.87504;-78.45001:35.88223;-78.50568:35.89612;-78.50645:35.89100;-78.51986:35.88682;-78.52062:35.88390;-78.53210:35.90604;-78.53686:35.90520;-78.55298:35.91229;-78.55992:35.94047;-78.55179:35.94140;-78.54134:35.94829;-78.53929:35.96092;-78.54263:35.96573;-78.54636:35.97095;-78.55693:35.96980;-78.56081:35.96051;-78.56300:35.95018;-78.57075:35.93921;-78.57422:35.92720;-78.58750:35.92867;-78.58969:35.94809;-78.58170:35.95852;-78.58608:35.95893;-78.60066:35.96457;-78.60943:35.97041;-78.62916:35.96916;-78.63304:35.98283;-78.63239:35.98732;-78.63860:35.98731;-78.64490:35.99515;-78.64620:36.00016;-78.65471:35.98512;-78.65535:35.98616;-78.66554:35.98784;-78.67845:35.98467;-78.70745:36.00649;-78.70130:36.02866;-78.71805:36.05817;-78.71683:36.06069;-78.68020:36.04004;-78.66434:36.06103;-78.63462:36.05139;-78.62623:36.05968;-78.59162:36.07148;-78.59599:36.09286;-78.57237:36.07511;-78.56954:36.06550;-78.56294:36.07060;-78.54447:36.05076;-78.54590:36.04063;-78.55468:36.03342;-78.55469
6058538|Edenton, North Carolina, United States of America (type 3)|36.22910;-76.67331:36.23805;-76.70636:36.16837;-76.73692:36.03794;-76.68565:35.99465;-76.53915:36.03005;-76.43414:36.06933;-76.40177:36.07857;-76.44991:36.09284;-76.48009:36.08412;-76.48994:36.08431;-76.49945:36.10145;-76.52110:36.10255;-76.52786:36.09598;-76.54435:36.10469;-76.56813:36.11353;-76.57393:36.17290;-76.58178:36.16505;-76.60477:36.17579;-76.62825:36.17023;-76.63529:36.17396;-76.64255:36.18980;-76.63418:36.20989;-76.66110
6058539|Elizabeth City, North Carolina, United States of America (type 3)|36.33160;-76.29590:36.32716;-76.17811:36.27000;-76.17462:36.27239;-76.29233
6058540|Plymouth, North Carolina, United States of America (type 3)|35.87846;-76.78506:35.87751;-76.72299:35.83953;-76.72800:35.83946;-76.78624
6058541|Bald Head Island, North Carolina, United States of America (type 3)|33.88154;-78.01208:33.92321;-77.97009:33.92143;-77.94917:33.84203;-77.95140:33.84040;-78.01229
6058542|Ocean Isle Beach, North Carolina, United States of America (type 3)|33.94630;-78.50238:33.95654;-78.50518:33.96275;-78.50837:33.96600;-78.51837:33.97544;-78.52427:33.97738;-78.51238:33.99724;-78.52175:33.99670;-78.51051:33.98987;-78.49957:33.98707;-78.48732:33.98956;-78.46879:33.97832;-78.46711:33.97172;-78.47244:33.96218;-78.47048:33.96048;-78.46150:33.95305;-78.45878:33.95475;-78.44812:33.91327;-78.44503:33.90534;-78.44211:33.91573;-78.42845:33.91239;-78.42685:33.91356;-78.41855:33.91844;-78.40752:33.91061;-78.39396:33.90439;-78.39406:33.90517;-78.38415:33.89842;-78.38172:33.87526;-78.47501:33.88826;-78.48597:33.91660;-78.49318:33.92934;-78.50133
6058543|Shallotte, North Carolina, United States of America (type 3)|33.98953;-78.46863:33.99380;-78.46500:33.99966;-78.45500:34.00276;-78.40798:34.00774;-78.40773:34.00189;-78.38920:34.00918;-78.37668:34.00256;-78.34645:33.98808;-78.35378:33.98234;-78.34870:33.98488;-78.34325:33.98037;-78.33432:33.96789;-78.33005:33.96578;-78.33337:33.95309;-78.32779:33.94469;-78.33857:33.93676;-78.33723:33.92958;-78.34695:33.92748;-78.35934:33.91399;-78.37345:33.90508;-78.38950:33.90478;-78.39375:33.91075;-78.39389:33.91861;-78.40759:33.91362;-78.41851:33.91243;-78.42678:33.91581;-78.42846:33.90589;-78.44211:33.91385;-78.44454:33.95501;-78.44793:33.95318;-78.45870:33.96057;-78.46117:33.96230;-78.47031:33.97167;-78.47207:33.97812;-78.46694
6058544|Southport, North Carolina, United States of America (type 3)|33.97147;-78.13202:33.96077;-78.08145:33.99330;-78.09198:34.01992;-78.02204:33.97586;-77.95681:33.92810;-77.99388:33.91640;-78.01915:33.92806;-78.15488
6058545|Sunset Beach, North Carolina, United States of America (type 3)|33.92562;-78.55306:33.93845;-78.55628:33.94674;-78.54848:33.95449;-78.51226:33.95717;-78.50561:33.94644;-78.50245:33.92908;-78.50138:33.91649;-78.49339:33.88838;-78.48626:33.87472;-78.47489:33.87132;-78.48692:33.86229;-78.51629:33.85091;-78.54098:33.86588;-78.55768:33.87756;-78.57094:33.88575;-78.56215:33.88989;-78.54874:33.90508;-78.55788
6058546|Greenville, North Carolina, United States of America (type 3)|35.64363;-77.49092:35.68263;-77.36497:35.68503;-77.30799:35.66483;-77.29001:35.58511;-77.26915:35.57537;-77.27730:35.57086;-77.28587:35.56046;-77.35092:35.55142;-77.38472:35.55386;-77.39285:35.56395;-77.38942:35.56117;-77.40312:35.56778;-77.41210:35.57021;-77.43521:35.55246;-77.43691:35.55177;-77.44461:35.56985;-77.48398:35.57957;-77.51309
6058547|Kinston, North Carolina, United States of America (type 3)|35.21556;-77.71721:35.33962;-77.67715:35.37296;-77.61544:35.35063;-77.52437:35.31970;-77.49866:35.22197;-77.47794:35.21965;-77.52164:35.17225;-77.50949:35.13422;-77.60681:35.17751;-77.62688:35.14529;-77.67121
6058548|Washington, North Carolina, United States of America (type 3)|35.73914;-77.16451:35.64855;-76.96561:35.59999;-76.98795:35.58179;-76.87860:35.49636;-76.87371:35.48049;-76.81769:35.43195;-76.83504:35.50346;-77.01743:35.54106;-77.06057:35.55234;-77.08416:35.55491;-77.10446:35.58348;-77.18507
6058549|Williamston, North Carolina, United States of America (type 3)|35.86664;-77.17232:35.93568;-77.19905:35.94351;-77.04823:35.92858;-77.02845:35.86282;-77.04278:35.85728;-77.03187:35.90145;-76.94113:35.89866;-76.91863:35.83011;-76.89285:35.81634;-76.93853:35.77875;-76.91270:35.73350;-76.97882:35.68985;-76.99043:35.66996;-77.00744:35.76049;-77.21030
6058550|Jacksonville, North Carolina, United States of America (type 3)|34.75507;-77.46188:34.75291;-77.45701:34.76102;-77.44726:34.76243;-77.44884:34.77232;-77.45191:34.77230;-77.49116:34.78687;-77.49589:34.79917;-77.50326:34.80048;-77.47711:34.79471;-77.44588:34.79989;-77.44611:34.80371;-77.44131:34.80629;-77.43633:34.80981;-77.43797:34.81356;-77.43295:34.81293;-77.42592:34.80921;-77.42670:34.80846;-77.42541:34.80742;-77.42523:34.80177;-77.44037:34.79961;-77.43918:34.80123;-77.42719:34.80123;-77.41955:34.80383;-77.41890:34.81151;-77.42100:34.80956;-77.41059:34.80469;-77.40743:34.80350;-77.41455:34.80058;-77.41626:34.79766;-77.41073:34.79030;-77.40335:34.79582;-77.39676:34.79322;-77.38806:34.79582;-77.38438:34.79225;-77.38108:34.80075;-77.36277:34.79069;-77.35117:34.76980;-77.36225:34.75385;-77.35540:34.74702;-77.35184:34.73710;-77.35178:34.73680;-77.34873:34.73500;-77.34407:34.73436;-77.33855:34.73260;-77.33348:34.72892;-77.33499:34.72416;-77.32993:34.72495;-77.32866:34.72109;-77.32036:34.71661;-77.32051:34.67921;-77.33053:34.63600;-77.30074:34.63161;-77.31163:34.63783;-77.32385:34.63465;-77.34435:34.70867;-77.41773:34.68027;-77.43091:34.67919;-77.43407:34.68178;-77.43683:34.68524;-77.43894:34.69400;-77.44802:34.69638;-77.45289:34.70103;-77.46250:34.70536;-77.47211:34.70611;-77.48053:34.70900;-77.48106:34.71235;-77.48106:34.72891;-77.47462:34.73723;-77.46686:34.74113;-77.45831:34.74524;-77.45686:34.75238;-77.46845:34.75529;-77.46858
6058551|Sneads Ferry, North Carolina, United States of America (type 3)|34.44612;-77.50684:34.44764;-77.51218:34.45389;-77.50591:34.45877;-77.50496:34.46095;-77.50350:34.46741;-77.50470:34.48349;-77.47652:34.48478;-77.46729:34.49770;-77.46661:34.49919;-77.46519:34.51271;-77.46398:34.51606;-77.47009:34.52380;-77.46644:34.52932;-77.46990:34.52897;-77.47584:34.53891;-77.47689:34.54159;-77.48975:34.54920;-77.43422:34.56216;-77.45004:34.57380;-77.43796:34.56510;-77.42838:34.56452;-77.41775:34.56782;-77.41130:34.57010;-77.41205:34.57256;-77.40207:34.57776;-77.39955:34.57757;-77.38237:34.55102;-77.35993:34.53982;-77.34060:34.51242;-77.34411
6058552|Atlantic Beach, North Carolina, United States of America (type 3)|34.71138;-76.84991:34.71378;-76.70774:34.69827;-76.69457:34.69091;-76.69613:34.68773;-76.84993
6058554|Havelock, North Carolina, United States of America (type 3)|34.91068;-76.94145:34.91098;-76.87675:34.85381;-76.87886:34.85456;-76.93857
6058555|Morehead City, North Carolina, United States of America (type 3)|34.75348;-76.77685:34.76445;-76.72433:34.75370;-76.70172:34.72437;-76.69270:34.71375;-76.69254:34.72826;-76.84434:34.74670;-76.83853:34.74285;-76.80945:34.75213;-76.79313
6058556|Buxton, North Carolina, United States of America (type 3)|35.27587;-75.54794:35.27589;-75.51293:35.23409;-75.51347:35.23266;-75.57381:35.26367;-75.57754
6058557|Corolla, North Carolina, United States of America (type 3)|36.54988;-75.91191:36.55195;-75.86267:36.23162;-75.76824:36.22627;-75.79736:36.25183;-75.84642:36.45792;-75.90328:36.51439;-75.90537
6058558|Duck, North Carolina, United States of America (type 3)|36.15106;-75.73572:36.15064;-75.74985:36.17175;-75.76134:36.22979;-75.77724:36.23136;-75.76835
6058559|Kill Devil Hills, North Carolina, United States of America (type 3)|36.05158;-75.69415:36.05625;-75.68072:36.02532;-75.65804:35.99494;-75.64421:35.98395;-75.67279:35.98559;-75.70076:36.00585;-75.73327:36.02376;-75.72992
6058560|Nags Head, North Carolina, United States of America (type 3)|35.98370;-75.67266:35.99839;-75.63533:35.78816;-75.52204:35.76809;-75.54956:35.88872;-75.62429:35.95338;-75.63939:35.97241;-75.67016
6058562|Carolina Beach, North Carolina, United States of America (type 3)|33.98066;-77.94351:33.97873;-77.88612:34.08142;-77.84952:34.07668;-77.88328:34.05734;-77.89129:34.04895;-77.93210
6058563|Wilmington, North Carolina, United States of America (type 3)|34.28498;-77.99255:34.33158;-78.02847:34.33950;-77.98319:34.28974;-77.94610:34.29563;-77.90762:34.31342;-77.89806:34.32594;-77.88010:34.34257;-77.79713:34.32199;-77.76622:34.33549;-77.74648:34.33120;-77.72673:34.29798;-77.70659:34.23691;-77.76811:34.25105;-77.78119:34.22590;-77.80515:34.18801;-77.83076:34.15894;-77.85210:34.10749;-77.87524:34.07567;-77.88455:34.05793;-77.89204:34.05090;-77.93184:34.12530;-77.93823:34.15714;-77.95515:34.19530;-77.95835:34.22355;-77.95364:34.23249;-77.94955:34.24278;-77.95896:34.25896;-77.98098
6058564|Wrightsville Beach, North Carolina, United States of America (type 3)|34.25014;-77.78187:34.23614;-77.76800:34.18381;-77.80740:34.18840;-77.81657:34.20377;-77.80324:34.21295;-77.81296:34.22581;-77.80436
6058565|Clinton, North Carolina, United States of America (type 3)|35.01730;-78.37057:35.01689;-78.28143:34.96271;-78.28319:34.96420;-78.36821
6058566|Warsaw, North Carolina, United States of America (type 3)|35.01375;-78.14600:35.01460;-78.06397:34.97449;-78.06413:34.97449;-78.14581
6058567|Dunn, North Carolina, United States of America (type 3)|35.36909;-78.70410:35.37821;-78.69650:35.37573;-78.69294:35.39272;-78.67825:35.39314;-78.67012:35.38942;-78.66453:35.37493;-78.66502:35.37702;-78.64319:35.37288;-78.63608:35.38655;-78.61223:35.38573;-78.59649:35.39567;-78.59548:35.39029;-78.58126:35.37829;-78.57567:35.37084;-78.58633:35.36090;-78.57415:35.36380;-78.56552:35.34682;-78.53253:35.31785;-78.52696:35.31247;-78.51479:35.30295;-78.52646:35.28183;-78.50871:35.28389;-78.47930:35.29009;-78.47829:35.29505;-78.46053:35.28842;-78.44888:35.28262;-78.45091:35.28716;-78.43265:35.27349;-78.42658:35.27390;-78.42101:35.26766;-78.39465:35.24818;-78.38101:35.24530;-78.38963:35.23827;-78.39522:35.24782;-78.42561:35.24121;-78.43424:35.20560;-78.42112:35.20355;-78.43784:35.19985;-78.47534:35.18536;-78.46775:35.17626;-78.47637:35.15887;-78.47284:35.16096;-78.50929:35.16718;-78.52296:35.16470;-78.54524:35.17132;-78.54980:35.16718;-78.57715:35.17752;-78.58272:35.18000;-78.59943:35.19325;-78.59741:35.18497;-78.60805:35.18662;-78.62628:35.19696;-78.62376:35.19322;-78.65617:35.20150;-78.65668:35.20397;-78.66682:35.21143;-78.66126:35.22134;-78.68812:35.22963;-78.67699:35.23002;-78.69523:35.23789;-78.69069:35.25650;-78.70441:35.26522;-78.68211:35.28136;-78.68062:35.31199;-78.69182:35.31448;-78.67711:35.30787;-78.66645:35.31244;-78.64769:35.31947;-78.65683:35.32485;-78.65024:35.34264;-78.66447:35.35051;-78.65789:35.36539;-78.67668:35.36084;-78.68835
6058568|Fayetteville, North Carolina, United States of America (type 3)|35.10568;-79.04199:35.10497;-78.90637:35.21663;-78.90888:35.21661;-78.83185:35.10632;-78.83111:35.10489;-78.74675:34.98956;-78.74608:34.98954;-79.04176
6058569|Spring Lake, North Carolina, United States of America (type 3)|35.21010;-79.01590:35.21877;-78.94137:35.20052;-78.94154:35.15315;-78.96870:35.16141;-78.97218:35.17304;-78.99701:35.19173;-79.00614
6058570|Goldsboro, North Carolina, United States of America (type 3)|35.45698;-78.09281:35.46709;-77.98469:35.46946;-77.87115:35.44340;-77.82793:35.41302;-77.81534:35.40224;-77.87058:35.35832;-77.87062:35.34529;-77.84937:35.24825;-77.86147:35.26674;-77.93715:35.31553;-77.95440:35.34209;-78.02950:35.26991;-78.11579:35.28338;-78.22149:35.32020;-78.26937:35.33379;-78.21555:35.37827;-78.10589:35.43411;-78.11517
6058571|Kenly, North Carolina, United States of America (type 3)|35.60940;-78.17124:35.60918;-78.06822:35.55574;-78.06570:35.55600;-78.17653
6058572|Smithfield, North Carolina, United States of America (type 3)|35.46752;-78.43703:35.50052;-78.46141:35.55635;-78.32688:35.49692;-78.29355:35.47987;-78.23220:35.42727;-78.33310:35.47150;-78.36619
6058574|Henderson, North Carolina, United States of America (type 3)|36.42198;-78.53572:36.42034;-78.34210:36.28524;-78.34101:36.28383;-78.53853
6058576|Oxford, North Carolina, United States of America (type 3)|36.34220;-78.63590:36.33996;-78.53833:36.28121;-78.53957:36.27994;-78.63351
6058577|Lumberton, North Carolina, United States of America (type 3)|34.67983;-79.07009:34.68120;-78.97806:34.60591;-78.97914:34.60560;-79.07116
6058578|Rowland, North Carolina, United States of America (type 3)|34.59441;-79.32881:34.59253;-79.14084:34.50570;-79.14340:34.50204;-79.32304
6058579|Roanoke Rapids, North Carolina, United States of America (type 3)|36.47939;-77.73345:36.48129;-77.64232:36.44472;-77.62511:36.40962;-77.63641:36.40630;-77.63103:36.41023;-77.61896:36.40031;-77.61281:36.38420;-77.62255:36.38916;-77.63359:36.38380;-77.64283:36.35488;-77.66232:36.35528;-77.68566:36.36582;-77.70542:36.34928;-77.71082:36.35381;-77.78443:36.36371;-77.78469:36.39285;-77.76931:36.39491;-77.78471:36.40399;-77.79782:36.43931;-77.78656:36.45706;-77.80969:36.47153;-77.79635:36.48349;-77.81434:36.49692;-77.80770
6058580|Weldon, North Carolina, United States of America (type 3)|36.40960;-77.63623:36.40666;-77.63089:36.41036;-77.61889:36.40112;-77.61298:36.40438;-77.60857:36.40335;-77.59874:36.42176;-77.58640:36.43188;-77.59277:36.43757;-77.61027:36.44372;-77.61523:36.44470;-77.62465
6058581|Laurinburg, North Carolina, United States of America (type 3)|34.85721;-79.59842:34.85490;-79.31761:34.72803;-79.31307:34.72588;-79.59612
6058582|Rockingham, North Carolina, United States of America (type 3)|35.01068;-79.91272:35.01048;-79.61373:34.87913;-79.61335:34.87822;-79.91187
6058583|Wadesboro, North Carolina, United States of America (type 3)|35.01500;-80.18040:35.01561;-79.98333:34.90206;-79.98295:34.89812;-80.17973
6058584|Battleboro, North Carolina, United States of America (type 3)|36.02839;-77.88962:36.03701;-77.82692:36.01244;-77.81196:36.01635;-77.78206:36.03078;-77.75891:35.99918;-77.77338:35.99606;-77.75844:36.01244;-77.74685:36.01829;-77.72371:36.00970;-77.70877:36.00580;-77.70974:35.96442;-77.67170:35.96167;-77.64713:35.96944;-77.62399:35.97490;-77.61818:35.99445;-77.66202:36.03737;-77.67306:36.06117;-77.68316:36.07640;-77.72077:36.07642;-77.76711:36.06082;-77.79847:36.07368;-77.81343:36.07132;-77.84238:36.06586;-77.85782:36.08650;-77.88873:36.06967;-77.93697:36.05956;-77.91814:36.03774;-77.90458
6058585|Rocky Mount, North Carolina, United States of America (type 3)|36.03772;-77.90683:36.02703;-77.88909:36.03613;-77.82719:36.01201;-77.81229:36.01564;-77.78303:36.02951;-77.75968:35.99880;-77.77461:35.99492;-77.75690:36.01175;-77.74648:36.01768;-77.72342:36.00972;-77.70937:36.00630;-77.71021:35.96350;-77.67258:35.94939;-77.65604:35.91548;-77.65266:35.89888;-77.63723:35.85565;-77.68328:35.86542;-77.72174:35.84929;-77.79252:35.83494;-77.80770:35.84902;-77.87339:35.86131;-77.87396:35.86834;-77.89277:35.84924;-77.91551:35.86721;-77.92479:35.90362;-77.90372:35.90544;-77.91356:35.91727;-77.91525:35.92433;-77.91019:35.92569;-77.90232:35.93160;-77.90316:35.93343;-77.91552:35.94959;-77.91212:35.95732;-77.92758:35.98326;-77.91606:36.00280;-77.92028:36.03079;-77.91831
6058586|Tarboro, North Carolina, United States of America (type 3)|35.91821;-77.57501:35.91805;-77.53102:35.87463;-77.52990:35.87258;-77.57799
6058587|Wilson, North Carolina, United States of America (type 3)|35.78048;-78.02498:35.77826;-77.85913:35.66724;-77.86022:35.66845;-78.02280
6058589|Sanford, North Carolina, United States of America (type 3)|35.52031;-79.25422:35.52040;-79.11273:35.42802;-79.11584:35.42499;-79.25655
6058590|Siler City, North Carolina, United States of America (type 3)|35.77018;-79.52051:35.77130;-79.38469:35.68001;-79.38202:35.68113;-79.51906
6058591|Carthage, North Carolina, United States of America (type 3)|35.40611;-79.52071:35.43327;-79.53313:35.45696;-79.51959:35.49396;-79.46728:35.49303;-79.43391:35.47628;-79.43506:35.46902;-79.44630:35.46524;-79.43467:35.47946;-79.41141:35.47283;-79.39163:35.45640;-79.37651:35.47117;-79.36060:35.42029;-79.31645:35.37162;-79.28522:35.33532;-79.30657:35.35367;-79.35070:35.34483;-79.36503:35.31671;-79.34724:35.28348;-79.27259:35.27211;-79.27298:35.25890;-79.29676:35.24497;-79.29547:35.21721;-79.34306:35.22101;-79.40299:35.24754;-79.44553:35.26840;-79.43668:35.28229;-79.44016:35.28450;-79.46649:35.31230;-79.45217:35.32178;-79.50752:35.30377;-79.51099:35.29521;-79.56441:35.33593;-79.60277:35.35934;-79.56949:35.38966;-79.56914:35.40104;-79.55365:35.39063;-79.51102:35.39380;-79.50714
6058592|Pinebluff, North Carolina, United States of America (type 3)|35.12173;-79.49133:35.11888;-79.46756:35.10058;-79.45651:35.07805;-79.46225:35.05758;-79.47845:35.06409;-79.50403:35.06364;-79.52624:35.06612;-79.54985:35.08499;-79.56467:35.09483;-79.56314:35.10948;-79.54036:35.09738;-79.51870:35.11085;-79.51045:35.10708;-79.49549
6058593|Pinehurst, North Carolina, United States of America (type 3)|35.19504;-79.52707:35.18975;-79.50744:35.16840;-79.49938:35.16669;-79.44783:35.17429;-79.44327:35.17778;-79.43224:35.18440;-79.43932:35.19107;-79.42823:35.19733;-79.42922:35.20108;-79.42698:35.21226;-79.42526:35.21483;-79.42117:35.20925;-79.41732:35.21282;-79.39960:35.21712;-79.39522:35.22013;-79.39521:35.22071;-79.40327:35.23935;-79.43275:35.21898;-79.47939:35.20651;-79.47605:35.20594;-79.48499:35.21354;-79.49096:35.21153;-79.52516
6058594|Southern Pines, North Carolina, United States of America (type 3)|35.19725;-79.42898:35.20082;-79.42694:35.21218;-79.42495:35.21454;-79.42117:35.20904;-79.41739:35.21267;-79.39947:35.21690;-79.39516:35.22032;-79.39501:35.21702;-79.34316:35.22030;-79.33750:35.21670;-79.32908:35.21011;-79.33319:35.20465;-79.34241:35.19932;-79.33143:35.19048;-79.33938:35.16735;-79.33062:35.11983;-79.37856:35.13105;-79.38819:35.15078;-79.39614:35.16218;-79.41995:35.16585;-79.43605:35.16661;-79.44751:35.17409;-79.44307:35.17761;-79.43173:35.18443;-79.43897:35.19089;-79.42796
6058596|Black Mountain, North Carolina, United States of America (type 3)|35.68825;-82.38446:35.70163;-82.38078:35.74686;-82.33552:35.72698;-82.28242:35.70267;-82.27425:35.61480;-82.26473:35.59049;-82.28988:35.56065;-82.24979:35.54626;-82.19751:35.52800;-82.16697:35.46173;-82.24779:35.49930;-82.33262:35.52253;-82.28647:35.57720;-82.35578:35.60151;-82.36939:35.61089;-82.37756
6058597|Candler, North Carolina, United States of America (type 3)|35.55589;-82.77915:35.60238;-82.72905:35.59862;-82.66087:35.55867;-82.64862:35.54080;-82.64234:35.51616;-82.62846:35.50970;-82.63882:35.49004;-82.65981:35.45896;-82.67268:35.45345;-82.68203:35.45323;-82.70697:35.42302;-82.74546:35.43763;-82.78145:35.46999;-82.79754:35.53904;-82.76889
6058598|Hendersonville, North Carolina, United States of America (type 3)|35.40155;-82.53448:35.40721;-82.52315:35.40668;-82.51338:35.39939;-82.50824:35.39593;-82.49778:35.40093;-82.43528:35.41878;-82.41505:35.46653;-82.38244:35.46094;-82.36673:35.46163;-82.30336:35.45370;-82.27394:35.39133;-82.26059:35.33259;-82.30488:35.33823;-82.31402:35.33691;-82.32197:35.32871;-82.35230:35.32778;-82.40285:35.31553;-82.42382:35.32363;-82.43735:35.31698;-82.43967:35.31135;-82.43542:35.31227;-82.42614:35.30729;-82.42899:35.29912;-82.41957:35.29998;-82.42594:35.29623;-82.44218:35.23177;-82.50246:35.23325;-82.53323:35.22218;-82.54791:35.20346;-82.55193:35.19909;-82.54373:35.18843;-82.55243:35.17325;-82.56943:35.16292;-82.58813:35.24000;-82.60583:35.25935;-82.60520:35.26071;-82.61616:35.28827;-82.61060:35.29462;-82.62272:35.30327;-82.61832:35.30085;-82.61054:35.29868;-82.60729:35.29901;-82.59987:35.29934;-82.59830:35.30753;-82.59708:35.30995;-82.58948:35.31620;-82.58989:35.32056;-82.58850:35.32459;-82.58258:35.32525;-82.58606:35.33055;-82.59035:35.33140;-82.57846:35.32813;-82.57533:35.33651;-82.56685:35.31535;-82.54724:35.31904;-82.53680:35.34488;-82.55865:35.39742;-82.52855
6058599|Asheville Regional Airport (AVL), North Carolina, United States of America (type 4)|35.44976;-82.55599:35.46549;-82.53629:35.44379;-82.50385:35.41563;-82.52679
6058600|Burlington, North Carolina, United States of America (type 3)|36.07875;-79.55330:36.08346;-79.52753:36.09126;-79.52174:36.08761;-79.49792:36.10269;-79.48825:36.11309;-79.47280:36.11535;-79.49143:36.15429;-79.50275:36.15346;-79.48838:36.16548;-79.48736:36.19056;-79.49540:36.21231;-79.49351:36.21978;-79.47452:36.23014;-79.47298:36.25002;-79.48994:36.25789;-79.41903:36.24671;-79.41133:36.24753;-79.40362:36.26107;-79.40933:36.29601;-79.40565:36.27973;-79.37121:36.34357;-79.29102:36.31744;-79.28746:36.29201;-79.28284:36.27967;-79.30190:36.25237;-79.29714:36.22237;-79.29502:36.20394;-79.29983:36.20882;-79.28025:36.22506;-79.28042:36.21787;-79.26102:36.20466;-79.25800:36.19115;-79.32137:36.12136;-79.31904:36.12177;-79.33023:36.11861;-79.33716:36.11028;-79.33610:36.10425;-79.34836:36.11329;-79.35209:36.12119;-79.36845:36.08857;-79.38336:36.08290;-79.41492:36.06261;-79.41558:36.06418;-79.42973:36.05430;-79.43425:36.04233;-79.41946:36.02465;-79.43330:35.98228;-79.41912:35.96748;-79.43495:35.94580;-79.45198:35.94666;-79.46866:35.97444;-79.46491:35.96382;-79.48337:35.96324;-79.51318:35.95534;-79.52329:35.96066;-79.52985:35.96999;-79.52968:35.97872;-79.51301:35.98260;-79.51637:35.98864;-79.50786:35.99610;-79.51673:36.00429;-79.51655:36.00757;-79.52311:35.99736;-79.56092:36.00195;-79.56466:36.00109;-79.57850:36.04445;-79.55324
6058601|Greensboro, North Carolina, United States of America (type 3)|36.10599;-79.98723:36.14238;-79.95771:36.15805;-79.96921:36.17267;-79.95424:36.16093;-79.92509:36.17306;-79.88182:36.17342;-79.83862:36.21832;-79.84440:36.24934;-79.78167:36.24791;-79.76090:36.20870;-79.75959:36.17770;-79.79006:36.14384;-79.78079:36.18195;-79.70750:36.17589;-79.69601:36.16911;-79.70000:36.15201;-79.69824:36.10533;-79.71683:36.08713;-79.67451:36.07822;-79.68739:36.00834;-79.65308:35.96240;-79.70111:35.97701;-79.73150:35.99412;-79.74515:35.99341;-79.75705:35.97809;-79.76145:35.97416;-79.78040:35.95883;-79.79361:35.91892;-79.79054:35.92604;-79.82619:35.94208;-79.82575:35.91392;-79.84861:35.91320;-79.85610:35.95238;-79.89663:35.94632;-79.90103:35.95095;-79.90896:35.97303;-79.91561:35.99906;-79.91123:36.00403;-79.92446:36.04539;-79.90645:36.04894;-79.91968:36.03788;-79.94742:36.05178;-79.95669:36.06567;-79.95406:36.06601;-79.98359:36.09168;-79.99383
6058602|High Point, North Carolina, United States of America (type 3)|36.00757;-80.07413:36.03009;-80.05685:36.03340;-80.04698:36.03327;-80.03829:36.05159;-80.01359:36.06964;-80.00474:36.08136;-80.00289:36.08164;-79.99267:36.06586;-79.98372:36.06567;-79.95412:36.05178;-79.95683:36.03784;-79.94750:36.03827;-79.94580:36.03769;-79.94520:36.03511;-79.94799:36.02864;-79.96123:36.02833;-79.93770:36.01049;-79.94135:35.99031;-79.95804:35.98739;-79.94322:35.97100;-79.95370:35.95958;-79.93636:35.93775;-79.91149:35.92336;-79.93464:35.91870;-79.99960:35.90873;-79.99795:35.88078;-80.00453:35.88859;-80.04824:35.91192;-80.04658:35.94614;-80.04593:35.93735;-80.08675:35.94962;-80.12362:35.96804;-80.13918:35.97857;-80.13993:35.98413;-80.13522:35.97976;-80.12184:35.98209;-80.11932:36.00901;-80.12115:36.01019;-80.11680:36.00522;-80.09113
