RegionID|EANHotelID
6080346|203926
6080346|225669
6080298|106728
6080326|267497
6080300|198618
6080322|254448
6080294|431995
6080294|105621
6080328|491598
6080314|106836
6080308|138473
6080334|152413
6080338|117722
6080308|112190
6091050|141231
2262|112717
2295|171918
6079692|138881
6080298|270695
6079690|142906
6080746|194086
178284|232934
6135432|139543
55089|121221
6080298|165331
6091050|106836
6080294|150510
2262|376741
6207080|261603
6080296|324767
6110825|171918
6080302|226303
6340801|117722
6080298|531739
6080314|141231
7985|138243
6246941|133410
6080330|220735
6080298|117711
6080312|321357
6080320|115668
6207078|262986
6080304|142201
6080324|244489
6079692|212057
6080746|492846
6080346|108297
6197|492846
6080746|134965
6080340|176980
178284|225669
6025582|185955
6048540|232934
178284|147899
6080300|134376
178284|161347
6080296|151477
178284|203926
6080316|112612
6080294|112717
2262|451955
6167249|445060
6058456|171313
2262|203886
6079688|138089
6080298|310838
6080296|112190
178284|268168
6080746|141231
6080338|267497
6080302|134965
6080746|226303
6080294|376741
6080326|106836
6080300|130420
174304|138163
6080298|139543
178284|254448
149384|193160
6080300|138163
6080300|187629
6080314|491598
6058423|127386
9212|199719
6167249|145287
6306712|115668
6080334|225669
6079686|241467
6080334|254448
6091048|244489
6080298|134966
178284|108297
2262|200434
9212|139410
178284|160823
6080298|124495
6080300|117264
6091050|491598
6080300|171313
6080304|126884
178284|324767
6080294|200434
6080298|198043
178284|499139
6080298|169633
6246941|126019
6080334|324767
6080746|109870
6080296|152413
178284|121221
6080330|170356
6080298|117379
6080312|127429
2262|202103
6080298|164870
6080328|112612
178284|151477
6080298|127429
6080746|491598
6080306|263600
6091048|127429
6167249|131842
2295|241467
178284|115668
6080300|138844
6080300|233494
6249979|138089
6080326|117722
6080294|203886
6246941|212926
6080296|125838
6080308|115668
6057429|216378
6080746|208719
6079690|130177
6080346|127427
6080316|462518
6306712|112190
178284|205981
6110831|212057
6059436|134965
6080296|254448
2262|270819
6080334|112190
178284|263439
6080294|149305
6080294|202103
6080296|193160
6080300|267497
6080306|116135
6025582|138089
6080312|171313
6110823|212926
6080746|176980
6246941|203294
6080322|324767
6080328|127428
6079692|107480
6080744|117722
6080300|108717
6080298|139503
178284|112190
6080298|244489
6080302|491598
6080328|226303
6080304|111567
178284|138473
6058456|321357
6080300|273365
6080304|219487
2262|352522
6110823|133410
2262|121250
6246936|126019
6091050|117722
6080324|164870
6167249|141643
6080316|176980
6080330|340065
6080302|112612
6091048|117711
6080298|314728
6080298|145474
6080324|198618
6080298|135942
6080294|495593
6080316|138162
6080338|198618
6080330|138162
6080300|117722
6341406|208358
6080322|152413
6249979|130177
2262|111681
6110831|142906
6080298|193592
6242298|212057
6080298|506163
6080318|263600
178284|138101
6080312|198618
6135285|499139
6080312|127386
6080304|138162
6080298|123559
6092618|263439
6080294|134108
6080296|138473
6059434|233494
6080304|170356
6110823|203294
6110831|107480
6246931|241467
6167249|128782
6246951|124291
6080294|451955
6080302|141231
6080300|202774
7985|119863
6080316|127428
6080328|141231
6091046|169994
6080304|340065
6080330|219487
6092618|232934
6080300|321357
6080304|220735
6080318|220735
2262|431995
6080336|244489
178284|127427
6079686|171918
6080294|127427
6080300|487193
6079688|185955
6080744|267497
6080344|263600
6080744|198618
178284|116973
6080336|164870
2262|105621
178284|478438
6080298|277204
6080322|193160
6092618|499139
6110825|241467
6080296|225669
6080346|203886
6059433|340065
6080744|226303
2262|150510
6057429|212926
6091046|125838
6080334|169994
6080306|112190
6080296|106728
6080298|198618
178284|152413
6197|321357
6091048|506163
6059434|130420
2262|124170
2262|149457
6079692|124291
6059434|138163
6197|117264
6080326|491598
6057429|126019
6080328|220735
6080312|117264
6080294|108297
178284|193592
6080294|203926
6135285|263439
178284|169994
6059436|202774
6080320|254448
6080296|165331
6080746|142201
6080746|340065
6080302|127428
6110827|185955
6080314|226303
6080306|115668
6110827|130177
6080346|106728
6080298|142451
6246936|171918
6246927|126019
6080294|324767
55652|128782
6080306|138473
6080302|340065
6080300|226303
6080294|147899
6080328|111567
6080744|106836
6080328|170356
6058423|165331
55116|324808
6080296|117379
6080746|127428
6135433|139410
178284|465213
6080296|164870
6080294|225669
178284|187621
6080298|233494
6080302|138162
6080312|488378
2262|164897
6080326|112612
6080334|117379
6306712|254448
6080310|198618
6167207|185955
6080346|187621
6080334|164870
6080324|267497
6080298|130420
6246941|216378
6080312|106836
178284|139503
6080746|126884
6080300|106836
6080298|262757
6080326|134965
6080308|254448
6080296|134966
6080746|112612
2262|263600
6080294|112190
6059436|109870
6080326|141231
6080298|171313
6080300|492846
6091050|198618
174304|122004
6246927|133410
6080344|112190
6080300|122004
6080328|219487
6059433|170356
6079694|133410
6091050|267497
6080746|138162
6197|171313
6080302|170356
6080746|126303
2262|186517
6091048|169994
6080308|324767
2262|219487
6059434|108717
2262|132763
178284|106728
6025582|241467
2262|116135
6080314|112612
6059433|220735
6341406|324808
6091046|203926
6057429|133410
6080320|138473
6080326|226303
6080300|488378
6059432|193592
6079690|212057
6080298|138243
6080296|506163
6059434|134376
6080744|141231
6080336|267497
6080294|151477
2262|106022
6080336|198618
6080328|138162
2262|129892
6080294|115668
6080298|274450
6135432|465213
6080328|340065
2262|115305
6057429|203294
6080298|134376
6080296|135942
6080300|491598
2295|212926
6080308|152413
2295|126019
6080326|127428
6080298|267497
6080320|324767
6110823|126019
178284|310838
6080300|109870
6080330|376741
6249979|212057
6080294|254448
2295|216378
6059434|123559
6080746|111567
6080316|143128
55116|183612
6080298|127386
6080322|117711
6249979|142906
6080344|115668
6080300|208719
6091048|164870
2262|111495
6080322|127429
6080298|108717
6080312|202774
178284|110518
6080312|117722
6167207|138089
2262|220735
6079694|203294
6059433|219487
6110823|216378
6080346|110518
2262|125899
6080302|111567
6080298|321357
6080310|244489
55652|145287
6080328|126884
6079690|107480
6059433|111567
178284|114932
6048540|263439
6080312|487193
6080338|141231
6080314|111567
7629|531739
6080328|142201
6306712|324767
6080298|209338
2262|127210
6080294|138101
6080304|116135
