AirportID|AirportCode|AirportName|Latitude|Longitude|MainCityID|CountryCode
6032939|VLV|Valera, Venezuela (VLV-Doctor Antonio Nicolas Briceno)|9.339699|-70.586594||VE
6032941|VMU|Baimuru, Papua New Guinea (VMU)|-7.497962|144.820919||PG
6032943|VNA|Saravane, Laos (VNA)|15.710637|106.414604||LA
6032945|VNC|Venice, FL, United States (VNC-Venice Municipal)|27.078310|-82.440880|602719|US
6032947|VNE|Vannes, France (VNE-Meucon)|47.720580|-2.727800|3722|FR
6032949|VNR|Vanrook, QLD, Australia (VNR)|-16.962561|141.953316||AU
6032951|VNX|Vilanculos, Mozambique (VNX)|-22.016332|35.315182|3725|MZ
6032953|VNY|Van Nuys, CA, United States (VNY)|34.219110|-118.486690||US
6032957|VOL|Volos, Greece (VOL)|39.221460|22.772958|10287|GR
6032959|VPN|Vopnafjordur, Iceland (VPN)|65.719027|-14.857279|3731|IS
6047071|VPS|Fort Walton Beach, FL, United States (VPS-Northwest Florida Regional)|30.495970|-86.549490|6023330|US
6032963|VPY|Chimoio, Mozambique (VPY)|-19.149825|33.426281||MZ
6032965|VPZ|Valparaiso, IN, United States (VPZ-Porter County Municipal)|41.450140|-87.011830||US
6047701|VQS|Vieques, Puerto Rico (VQS-Antonio Rivera Rodriguez)|18.134340|-65.488149|6139918|PR
6032971|VRB|Vero Beach, FL, United States (VRB-Vero Beach Municipal)|27.651470|-80.417620|6023660|US
6032973|VRC|Virac, Philippines (VRC)|13.578917|124.212627||PH
6032975|VRK|Varkaus, Finland (VRK)|62.171870|27.860590|3736|FI
6032977|VRL|Vila Real, Portugal (VRL)|41.275965|-7.718804|3737|PT
6032979|VRN|Verona, Italy (VRN-Valerio Catullo)|45.402074|10.905822|6047147|IT
6032981|VRY|Vaeroy, Norway (VRY-Stolport)|67.689442|12.681931||NO
6032983|VSA|Villahermosa, Tabasco, Mexico (VSA-Carlos Rovirosa Perez Intl.)|17.992462|-92.818984|3740|MX
6032985|VSE|Viseu, Portugal (VSE)|40.723056|-7.889988|10291|PT
6032987|VST|Vasteras, Sweden (VST-Stockholm - Hasslo)|59.601810|16.628240|3741|SE
6032989|VTB|Vitebsk, Belarus (VTB)|55.130610|30.356226|10293|BY
6032991|VTF|Vatulele, Fiji (VTF)|-18.513470|177.640858|10294|FJ
6032995|VTZ|Visakhapatnam, India (VTZ)|17.720401|83.231907|6138970|IN
6032997|VUP|Valledupar, Colombia (VUP-Alfonso Lopez Pumarejo)|10.433703|-73.247535|3745|CO
6032999|VVB|Mahanoro, Madagascar (VVB)|-19.833213|48.799468||MG
6033001|VVC|Villavicencio, Colombia (VVC-La Vanguardia)|4.164601|-73.618833|3747|CO
6033003|VVI|Santa Cruz, Bolivia (VVI-Viru Viru Intl.)|-17.648040|-63.140737|6053940|BO
6033005|VVK|Vastervik, Sweden (VVK)|57.777444|16.528842|10301|SE
6033007|VVZ|Illizi, Algeria (VVZ)|26.719926|8.619770||DZ
6033009|VXC|Lichinga, Mozambique (VXC)|-13.271472|35.264920|3750|MZ
