EANHotelID|SequenceNumber|Name|Address1|Address2|City|StateProvince|PostalCode|Country|Latitude|Longitude|AirportCode|PropertyCategory|PropertyCurrency|StarRating|Confidence|SupplierType|Location|ChainCodeID|RegionID|HighRate|LowRate|CheckInTime|CheckOutTime
269995|53|Dales Country House|Lodge Hill||Sheringham||NR26 8TJ|GB|52.93105|1.18501|NWI|1|GBP|4.0|52|ESR|Near Sheringham Park||602492|278.0213|248.7559|2 PM|11 AM
195828|54|Super 8 Oxford Ms|2201 Jackson Ave W||Oxford|MS|38655|US|34.36252|-89.56212|MEM|1|USD|2.0|95|ESR|Near C.M. Tad Smith Coliseum|733|6140|249.01|199|2 PM|11 AM
232865|55|Palau Royal Resort|P.O. Box 10108|Malakal Island|Koror||96940|PW|7.33531|134.45824|ROR|3|USD|4.0|87|ESR|Near National Stadium|94|3025|268.61|227|2 PM|noon
397396|56|Hampton Inn Tunkhannock|209 E Tioga St||Tunkhannock|PA|18657|US|41.53785|-75.93722|AVP|1|USD|2.5|55|ESR|In the city center|358|7183|154|124||
249926|57|Antinea Suites and Spa Hotel|Kamari Beach||Santorini||84700|GR|36.37093|25.47756|JTR|1|EUR|4.0|52|ESR|In Santorini (Kamari)||177970|1077.4399|969.7||
261513|58|Reef Residences|End of Stubbs Road|Grace Bay|Providenciales|||TC|21.78507|-72.20299|PLS|7|USD|3.0|52|ESR|Near Salt Mills Plaza||2822|532|332||
235452|59|Hotel Yountville|6462 Washington Street||Yountville|CA|94599|US|38.39843|-122.35822|OAK|1|USD|4.5|52|ESR|Near Gordon Gallery||10527|425|375||
185718|60|Hotel Marine Plaza|29 Marine Drive||Mumbai||400 020|IN|18.93148|72.82288|BOM|1|INR|4.5|52|ESR|Near Veer Nariman Road|2461|657|272.33|136.16|noon|noon
213170|61|The Star Inn|29 Perry St||Cape May|NJ|08204|US|38.93066|-74.92333|ACY|1|USD|3.5|80|ESR|Near Cape May Stage||10465|239|149||
211347|62|Royal Plaza Montreux & SPA|Avenue Claude Nobs 7||Montreux||1820|CH|46.44009|6.90352|GVA|1|CHF|5.0|52|ESR|Near Freddie Mercury Statue||4480|1153.61|226.11||Noon
441482|63|Hyatt Regency Changbaishan|Changbaishan International Resort|Southern Region, Fusong County|Baishan||134504|CN|42.10234|127.50749|CGQ|3|CNY|4.0|52|ESR|Near Changbaishan Ski Resort|65|6140778|296.28|218.31||
439038|65|Manoulas Mykonos Beach Resort|Agios Ioannis||Mykonos||84600|GR|37.42214|25.31203|JMK|1|EUR|4.0|52|ESR|Near Agios Ioannis Beach||1707|190.935|180.8841||
226706|66|The Grand Lodge Crested Butte|6 Emmons Rd||Crested Butte|CO|81225|US|38.90028|-106.96646|GUC|15|USD|3.0|3|ESR|Near Crested Butte Mountain Resort||5919|238.67|145.33|4 PM|11 AM
